start_time;run_id;gpu;generation;network;n_conv;dim1;kernel_conv;stride_conv;kernel_pool;stride_pool;n_layers;dim2;train_time;end_time;accuracy;num_epochs;loss_log;test_imgs;errors
2019-06-19 15:21:08.438484;20190619150000;cuda:0;7;Net_5;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];5;[4800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:21:38.820523;25.87165234967155;1;[];1979;no errors

2019-06-19 15:21:40.331261;20190619150000;cuda:0;7;Net_6;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:22:02.789830;22.132390096008084;1;[];1979;no errors

2019-06-19 15:22:04.423530;20190619150000;cuda:0;7;Net_7;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:22:24.564165;19.35320869125821;1;[];1979;no errors

2019-06-19 15:22:27.147451;20190619150000;cuda:0;8;Net_0;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];6;[4800, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:22:45.850007;25.87165234967155;1;[];1979;no errors

2019-06-19 15:22:47.452865;20190619150000;cuda:0;8;Net_1;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];3;[58800, 3000, 1502, 5];0;2019-06-19 15:23:40.941643;25.87165234967155;1;[];1979;no errors

2019-06-19 15:23:42.510282;20190619150000;cuda:0;8;Net_2;5;[3, 62, 121, 181, 240, 300];[4, 4, 4, 4, 4];[1, 1, 1, 1, 1];[2, 2, 2, 2, 2];[3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:23:57.719678;13.794845881758464;1;[];1979;no errors

2019-06-19 15:23:59.323086;20190619150000;cuda:0;8;Net_3;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];4;[1200, 3000, 2001, 1003, 5];0;2019-06-19 15:24:18.116122;22.132390096008084;1;[];1979;no errors

2019-06-19 15:24:20.709541;20190619150000;cuda:0;9;Net_0;6;[3, 52, 102, 151, 201, 250, 300];[5, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];5;[1200, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:24:44.389191;13.794845881758464;1;[];1979;no errors

2019-06-19 15:24:45.918115;20190619150000;cuda:0;9;Net_1;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];6;[2700, 3000, 2401, 1802, 1203, 604, 5];0;2019-06-19 15:25:02.006315;22.132390096008084;1;[];1979;no errors

2019-06-19 15:25:03.688752;20190619150000;cuda:0;9;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:25:23.072982;22.132390096008084;1;[];1979;no errors

2019-06-19 15:25:24.574759;20190619150000;cuda:0;9;Net_3;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:25:42.427291;19.35320869125821;1;[];1979;no errors

2019-06-19 15:25:44.958789;20190619150000;cuda:0;10;Net_0;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:25:58.132621;22.132390096008084;1;[];1979;no errors

2019-06-19 15:25:59.697118;20190619150000;cuda:0;10;Net_1;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[2, 2, 2, 2];3;[58800, 3000, 1502, 5];0;2019-06-19 15:26:32.587615;18.84790298130369;1;[];1979;no errors

